message1,message2,response_words,common_words,sequence_similarity,length_difference,contains_response_words,y
How's your day?,"My day is going well, thanks.",Yes,0,0,14,0,1
What's new with you?,"Not much, just the usual.",No,0,0,5,0,1
Any exciting plans for the weekend?,No specific plans yet. What about you?,Sure,1,0,3,1,1
Have you been to that new restaurant?,"I haven't been there, is it good?",Okay,1,0,4,0,1
Tell me something interesting.,"Sure, did you know honey never spoils?",Alright,0,0,8,1,1
I watched a great movie yesterday.,That's awesome! What movie did you watch?,Absolutely,1,0,7,0,1
What's your favorite type of cuisine?,Italian cuisine is my all-time favorite. You?,Certainly,0,0,8,0,1
The weather is lovely today.,"It's a beautiful day, isn't it?",Definitely,0,0,3,0,1
I'm in the mood for ice cream.,Ice cream sounds perfect right now!,Of course,1,0,5,1,1
Any book recommendations?,"Have you read ""The Alchemist""?",Indeed,0,0,5,0,1
Are you a morning person or a night owl?,I'm more of a night owl. How about you?,Affirmative,2,1,1,0,1
Tell me about your favorite vacation.,My favorite vacation was in Bali.,Negative,1,1,4,0,1
I had a great workout today.,I had an intense workout too!,Yeah,3,1,1,0,1
Do you enjoy outdoor activities?,"Yes, I love outdoor activities.",Yup,1,1,1,0,1
It's been a while since we talked.,"Yes, it's been a while. How have you been?",Nope,3,1,8,0,1
What's your go-to comfort food?,Mac and cheese is my comfort food.,Fine,1,1,3,0,1
How do you stay active?,I hit the gym regularly.,Great,0,0,1,0,1
Let's plan a hike soon.,A hike sounds fantastic! Where?,Wonderful,2,0,8,0,1
I'm into gardening these days.,Gardening can be so relaxing.,Fantastic,1,0,1,0,1
What's your dream travel destination?,My dream destination is Santorini.,Awesome,1,1,3,0,1
How's your job going?,Work's keeping me busy but going well.,Super,0,0,17,0,1
I love photography as a hobby.,Photography is such a rewarding hobby.,Excellent,3,1,8,0,1
Let's grab coffee this weekend.,Coffee this weekend? Count me in!,Perfect,2,1,2,0,1
Do you have a favorite painting?,Starry Night by Van Gogh is my favorite.,Good,0,0,8,0,1
I need a new Netflix show to watch.,Stranger Things on Netflix is a must-watch!,Bad,2,1,8,0,1
I'm thinking of redecorating my room.,Redecorating is so refreshing. Any theme in mind?,Terrible,1,0,12,0,1
"I'm a tea person, not coffee.",Tea is my go-to too. What's your favorite blend?,Horrible,1,0,19,0,1
What's your favorite kind of music?,I enjoy a variety of music genres. How about you?,Unacceptable,1,0,14,0,1
I'm excited about the holidays.,The holidays are such a magical time.,Agree,1,0,6,0,1
How do you like to spend Sundays?,Sundays are perfect for relaxation and nature walks.,Disagree,0,0,19,1,1
I'm starting a new DIY project.,DIY projects are a creative outlet. What's yours?,Understand,2,0,18,0,1
I'm planning a road trip soon.,Road trips are adventurous! Any specific destination?,Confused,1,0,23,0,1
What's your favorite season?,I'm a fan of the fall season. What's your favorite?,Clear,2,1,23,0,1
I enjoy long walks in the park.,Long park walks are therapeutic.,Unclear,2,1,1,0,1
I'm a fan of board games.,Board games are great for fun nights.,Right,1,0,12,1,1
Do you have a favorite sport?,Do you have a favorite sport to watch or play?,Wrong,5,1,17,0,1
I love the smell of fresh bread.,Fresh bread from the oven is unbeatable.,Correct,2,0,8,0,1
I'm taking up yoga classes.,Yoga classes are so calming.,Incorrect,1,0,1,0,1
It's time for a beach day.,Beach days are pure bliss.,Maybe,1,0,0,0,1
Tell me about your hometown.,My hometown is a small town in the countryside.,Perhaps,0,0,19,0,1
I'm trying out new recipes.,I'm experimenting with new recipes too.,Possibly,2,1,12,0,1
I love going to the gym.,Gym sessions keep me active and energized.,Probably,0,0,18,0,1
I want to learn to dance.,Learning to dance is a fun challenge.,Likely,1,0,12,0,1
What's your favorite TV series?,Game of Thrones is my all-time favorite TV series.,Unlikely,2,1,19,0,1
I'm organizing a family reunion.,Family reunions are wonderful for bonding.,Certainly not,1,0,10,1,1
Let's plan a picnic.,Let's plan a picnic at the park.,Absolutely not,3,1,12,0,1
I love stargazing at night.,Stargazing is so peaceful. What do you see?,Definitely not,1,0,16,0,1
How's your pet doing?,My pet is doing well. How about yours?,No way,1,0,17,0,1
I'm going to a concert next week.,I'm attending a concert next week. What about you?,I think so,5,1,17,1,1
I enjoy painting landscapes.,Painting landscapes is such a serene hobby.,I don't think so,1,1,15,0,1
I'm reading a thrilling mystery.,Thrilling mysteries are always intriguing.,I guess,1,0,10,1,1
What's your favorite animal?,Elephants are my favorite animals. What's yours?,I don't know,2,1,20,0,1
I'm into fitness and health.,Staying fit and healthy is important.,I'm not sure,1,1,9,0,1
I'm going on a camping trip.,Camping trips are a great escape.,Let me check,2,0,5,1,1
Let's have a movie night.,Movie nights are so much fun.,I'll find out,1,0,4,0,1
I want to visit a museum.,Visiting a museum is always inspiring.,I'll get back to you,1,0,13,1,1
I'm taking a pottery class.,Pottery classes are a creative outlet.,I'll let you know,2,0,11,0,1
I'm a coffee shop regular.,Coffee shops have a cozy ambiance.,I'll pass,2,0,8,0,1
How's your garden looking?,My garden is thriving with flowers.,I'm in,1,0,9,0,1
I'm planning a city visit.,I'm planning a city visit soon.,I'm out,4,1,5,0,1
I'm cooking dinner tonight.,What's on the menu for dinner tonight?,I'm interested,1,1,11,0,1
What's your favorite movie genre?,I love action-adventure movies. You?,I'm not interested,0,0,3,0,1
I'm getting a new car.,A new car is so exciting. What model?,Tell me more,2,0,15,0,1
I'm trying a new hobby.,Exploring new hobbies is enriching.,Go on,1,0,12,0,1
